index,name,Glass
187,Kurant Tea,Champagne flute
188,Kiwi Martini,Cocktail glass
189,Kiss me Quick,Highball glass
190,Kool-Aid Shot,Old-fashioned glass
191,Kool First Aid,Shot glass
192,Kentucky B And B,Brandy snifter
193,Kentucky Colonel,Cocktail glass
194,Kool-Aid Slammer,Shot glass
195,Kiwi Papaya Smoothie,Highball Glass
196,Kill the cold Smoothie,Highball glass
197,Limeade,Highball glass
198,Lunch Box,Pint glass
199,Lemon Drop,Cocktail glass
200,Lemon Shot,Shot glass
201,Long vodka,Highball glass
202,Lassi Khara,Highball Glass
203,Lassi Raita,Highball Glass
204,Lemouroudji,Highball Glass
205,Loch Lomond,Cocktail glass
206,London Town,Cocktail glass
207,Lassi - Mango,Highball glass
208,Lassi - Sweet,Highball glass
209,Limona Corona,Beer Glass
210,Lord And Lady,Old-fashioned glass
211,Lady Love Fizz,Cocktail glass
212,Lone Tree Cocktail,Cocktail glass
213,Lazy Coconut Paloma,Highball glass
214,Lemon Elderflower Spritzer,Highball glass
215,Lassi - A South Indian Drink,Highball Glass
216,Mojito,Highball glass
217,Mai Tai,Collins glass
218,Martini,Cocktail glass
219,Michelada,Pint glass
220,Manhattan,Cocktail glass
221,Mint Julep,Collins glass
222,Mudslinger,Punch bowl
223,Martinez 2,Cocktail glass
224,Miami Vice,Cocktail glass
225,Moscow Mule,Copper Mug
226,Masala Chai,Coffee Mug
227,Munich Mule,Highball glass
228,Mocha-Berry,Irish coffee cup
229,Mango Mojito,Jar
230,Mojito Extra,Collins glass
231,Monkey Gland,Cocktail glass
232,Midnight Mint,Cocktail glass
233,Mary Pickford,Cocktail glass
234,Monkey Wrench,Old-fashioned glass
235,Mother's Milk,Shot glass
236,Negroni,Old-fashioned glass
237,Nutty Irishman,Highball Glass
238,National Aquarium,Collins Glass
239,New York Lemonade,Cocktail glass
240,Nuked Hot Chocolate,Coffee mug
241,Orgasm,Cocktail glass
242,Old Pal,Nick and Nora Glass
243,Orangeade,Highball glass
244,Orange Crush,Shot glass
245,Orange Oasis,Highball glass
246,Old Fashioned,Old-fashioned glass
247,Oreo Mudslide,Collins Glass
248,Oatmeal Cookie,Mason jar
249,Orange Push-up,Hurricane glass
250,Orange Rosemary Collins,Highball glass
251,Owen's Grandmother's Revenge,Highball glass
252,Paradise,Cocktail glass
253,Pink Gin,White wine glass
254,Pegu Club,Cocktail glass
255,Pink Lady,Cocktail glass
256,Pink Moon,Whiskey Glass
257,Penicillin,Old-fashioned glass
258,Pisco Sour,Cocktail glass
259,Pina Colada,Collins glass
260,Pink Penocha,Punch bowl
261,Pure Passion,Whiskey sour glass
262,Popped cherry,Highball glass
263,Poppy Cocktail,Cocktail glass
264,Port Wine Flip,Whiskey sour glass
265,Planter's Punch,Collins glass
266,Pornstar Martini,Cocktail glass
267,Planter?�s Punch,Highball glass
268,Port And Starboard,Pousse cafe glass
269,Pysch Vitamin Light,Collins Glass
270,Pink Panty Pulldowns,Collins Glass
271,Passion Fruit Martini,Cocktail glass
272,Pineapple Gingerale Smoothie,Highball Glass
273,Quentin,Cocktail glass
274,Queen Bee,Cocktail glass
275,Quick F**K,Shot glass
276,Quick-sand,Highball glass
277,Queen Charlotte,Collins glass
278,Queen Elizabeth,Cocktail glass
279,Quarter Deck Cocktail,Cocktail glass
280,Rose,Cocktail glass
281,Radler,Highball glass
282,Rum Sour,Whiskey sour glass
283,Rum Punch,Punch bowl
284,Rum Toddy,Old-fashioned glass
285,Royal Fizz,Collins glass
286,Rum Cooler,Collins glass
287,Rum Runner,Cocktail glass
288,Rusty Nail,Old-fashioned glass
289,Red Snapper,Old-fashioned glass
290,Royal Bitch,Shot glass
291,Royal Flush,Old-fashioned glass
292,Rum Cobbler,Old-fashioned glass
293,Ruby Tuesday,Highball glass
294,Rail Splitter,Highball glass
295,Rosemary Blue,Balloon Glass
296,Ramos Gin Fizz,Highball glass
297,Royal Gin Fizz,Highball glass
298,Rum Milk Punch,Collins glass
299,Raspberry Julep,Cordial glass
300,Rum Screwdriver,Highball glass
301,Raspberry Cooler,Highball glass
302,Rum Old-fashioned,Old-fashioned glass
303,Russian Spring Punch,Highball glass
304,Smut,Beer mug
305,Spritz,Old-Fashioned glass
306,Sangria,Pitcher
307,Sazerac,Old-fashioned glass
308,Sidecar,Cocktail glass
309,Spice 75,Wine Glass
310,Shot-gun,Shot glass
311,Salty Dog,Highball glass
312,Stone Sour,Whiskey sour glass
313,Sea breeze,Highball glass
314,Scotch Sour,Whiskey sour glass
315,Sweet Tooth,Highball Glass
316,Screwdriver,Highball glass
317,Sherry Flip,Nick and Nora Glass
318,Shark Attack,Pitcher
319,San Francisco,Highball glass
320,Space Odyssey,Highball glass
321,Sherry Eggnog,Collins glass
322,Sweet Bananas,Highball Glass
323,Sweet Sangria,Pitcher
324,Thriller,Cocktail glass
325,The Galah,Collins glass
326,Tia-Maria,Collins Glass
327,Tipperary,Nick and Nora Glass
328,Turkeyball,Shot glass
329,Texas Sling,Wine Glass
330,Thai Coffee,Highball glass
331,Tom Collins,Collins glass
332,Tomato Tang,Highball glass
333,Talos Coffee,Brandy snifter
334,Tennesee Mud,Coffee Mug
335,Thai Iced Tea,Highball glass
336,The Last Word,Cocktail glass
337,Turf Cocktail,Cocktail glass
338,The Laverstoke,Balloon Glass
339,The Philosopher,Margarita glass
340,Tuxedo Cocktail,Cocktail glass
341,The Jimmy Conway,Whiskey sour glass
342,Texas Rattlesnake,Highball glass
343,Vesper,Cocktail glass
344,Vesuvio,Old-fashioned glass
345,Veteran,Old-fashioned glass
346,Van Vleet,Old-fashioned glass
347,Vodka Fizz,White wine glass
348,Vodka Lemon,Highball glass
349,Vodka Slime,Highball glass
350,Vodka Tonic,Highball glass
351,Vodka Martini,Cocktail glass
352,Vodka Russian,Collins Glass
353,Vermouth Cassis,Highball glass
354,Victory Collins,Collins glass
355,Vodka And Tonic,Highball glass
356,Valencia Cocktail,Cocktail glass
357,Whisky Mac,Collins Glass
358,White Lady,Cocktail glass
359,Wine Punch,Collins Glass
360,Wine Cooler,Collins Glass
361,Whiskey Sour,Old-fashioned glass
362,White Russian,Old-fashioned glass
363,White Wine Sangria,Pitcher
364,Waikiki Beachcomber,Cocktail glass
365,Yellow Bird,Cocktail glass
366,Yoghurt Cooler,Highball Glass
367,Zorro,Coffee Mug
368,Zinger,Highball glass
369,Zombie,Hurricane glass
370,Zambeer,Collins Glass
371,Zorbatini,Cocktail glass
372,Zenmeister,Collins Glass
373,Zipperhead,Whiskey sour glass
374,Zima Blaster,Hurricane glass
375,Zizi Coin-coin,Margarita/Coupette glass
376,Zimadori Zinger,Collins glass
377,Zippy's Revenge,Old-fashioned glass
378,Ziemes Martini Apfelsaft,Collins Glass
379,155 Belmont,White wine glass
380,1-900-FUK-MEUP,Old-fashioned glass
381,151 Florida Bushwacker,Beer mug
382,252,Shot glass
383,24k nightmare,Shot glass
384,3 Wise Men,Collins glass
385,410 Gone,Collins Glass
386,50/50,Collins Glass
387,57 Chevy with a White License Plate,Highball glass
388,69 Special,Collins Glass
389,747,Shot glass
390,747 Drink,Highball glass
391,9 1/2 Weeks,Cocktail glass
